,COUNTRY_CODE,count
0,US,783313
1,DE,30356
2,GB,21950
3,FR,17113
4,CN,14375
5,CH,13673
6,JP,13319
7,NL,8696
8,IT,8122
9,CA,6404
10,IE,5715
11,AU,5343
12,HK,4481
13,SG,3957
14,KR,3815
15,SE,3811
16,RU,3711
17,ES,3595
18,TW,3389
19,IN,3332
20,BE,2666
21,IL,2599
22,AT,2496
23,DK,2314
24,PL,2140
25,BR,1797
26,FI,1733
27,NO,1556
28,PT,1322
29,MX,1264
30,CZ,1219
31,TR,737
32,AR,711
33,HU,706
34,NZ,647
35,CL,529
36,VN,504
37,GR,370
38,UA,314
39,ZA,303
40,TH,297
41,IR,266
42,SI,254
43,PK,235
44,ID,234
45,RS,219
46,SA,211
47,CO,210
48,MY,161
49,UY,158
50,EG,157
51,KE,125
52,RO,124
53,AE,107
54,HR,105
55,IS,103
56,PH,96
57,LT,94
58,MA,92
59,AM,91
60,TN,85
61,DZ,82
62,LK,71
63,SK,64
64,KZ,64
65,BD,63
66,EE,56
67,NG,51
68,PE,50
69,BY,41
70,BG,37
71,LU,35
72,EU,35
73,IQ,33
74,MO,32
75,YE,31
76,EC,31
77,PR,30
78,CM,29
79,LV,29
80,KN,28
81,CR,27
82,AP,26
83,ET,25
84,JO,22
85,QA,22
86,CY,21
87,GH,19
88,NP,17
89,MD,17
90,UZ,16
91,MN,15
92,MG,14
93,RW,13
94,BN,12
95,SN,12
96,BO,12
97,UG,12
98,GE,11
99,PA,11
100,AZ,11
101,CU,10
102,LB,9
103,SY,8
104,GT,8
105,ZM,7
106,CI,7
107,LI,7
108,KW,6
109,GN,6
110,SD,6
111,BA,6
112,JM,5
113,MU,5
114,LY,5
115,MW,5
116,BJ,5
117,VE,5
118,MM,5
119,BH,5
120,KG,5
121,PF,4
122,ME,4
123,CD,4
124,HN,4
125,MK,4
126,MR,4
127,TM,3
128,TZ,3
129,AL,3
130,CW,3
131,MT,3
132,ZW,3
133,OM,3
134,IM,3
135,RE,2
136,SV,2
137,BW,2
138,KH,2
139,ML,2
140,LA,2
141,NI,2
142,AO,2
143,MV,2
144,BF,2
145,TJ,2
146,AQ,2
147,PY,2
148,MC,1
149,GG,1
150,TG,1
151,DO,1
152,YT,1
153,FJ,1
154,AD,1
155,TT,1
156,SM,1
157,A1,1
158,AG,1
159,BT,1
160,LS,1
161,SC,1
